Name                                         Stars  OpenIssues  Updated                      Description
sbdchd/neoformat                             1794   123         2023-07-01T19:20:40Z         :sparkles: A (Neo)vim plugin for formatting code.                                                                                                                                                                                  
ThePrimeagen/refactoring.nvim                1784   23          2023-07-11T22:41:18Z         The Refactoring library based off the Refactoring book by Martin Fowler
nvim-lua/plenary.nvim                        1748   109         2023-07-06T10:19:36Z         plenary: full; complete; entire; absolute; unqualified. All the lua functions I don't want to write twice.                                                                                                                         
ThePrimeagen/vim-be-good                     1724   37          2022-11-08T14:06:04Z         vim-be-good is a nvim plugin designed to make you better at Vim Movements.                                                                                                                                                         
romgrk/barbar.nvim                           1720   20          2023-07-05T02:36:15Z         The neovim tabline plugin.                                                                                                                                                                                                         
projekt0n/github-nvim-theme                  1673   12          2023-07-01T13:21:08Z         Github's Neovim themes
RRethy/vim-illuminate                        1659   4           2023-03-19T01:06:14Z         illuminate.vim - (Neo)Vim plugin for automatically highlighting other uses of the word under the cursor using either LSP, Tree-sitter, or regex matching.                                                                          
pwntester/octo.nvim                          1627   36          2023-06-30T10:01:08Z         Edit and review GitHub issues and pull requests from the comfort of your favorite editor
glepnir/dashboard-nvim                       1608   13          2023-06-14T05:28:10Z         vim dashboard
simrat39/symbols-outline.nvim                1587   91          2023-01-25T22:39:33Z         A tree like view for symbols in Neovim using the Language Server Protocol. Supports all your favourite languages.                                                                                                                  
nvim-treesitter/nvim-treesitter-context      1578   23          2023-07-13T09:06:28Z         Show code context
rcarriga/nvim-dap-ui                         1566   26          2023-05-29T20:42:17Z         A UI for nvim-dap
ray-x/lsp_signature.nvim                     1549   48          2023-06-01T05:26:12Z         LSP signature hint as you type
ggandor/lightspeed.nvim                      1544   26          2022-10-21T14:13:31Z         🌌 Next-generation motion plugin using incremental input processing, allowing for unparalleled speed with minimal interruptions (predecessor of leap.nvim)                                                                          
ms-jpq/chadtree                              1517   90          2023-07-13T06:32:51Z         File manager for Neovim. Better than NERDTree.                                                                                                                                                                                     
nvim-neotest/neotest                         1410   32          2023-06-15T15:43:47Z         An extensible framework for interacting with tests within NeoVim.                                                                                                                                                                  
Eandrju/cellular-automaton.nvim              1402   11          2023-01-25T20:46:34Z         A useless plugin that might help you cope with stubbornly broken tests or overall lack of sense in life. It lets you execute aesthetically pleasing, cellular automaton animations based on the content of neovim buffer.          
Olical/conjure                               1389   59          2023-07-11T10:18:53Z         Interactive evaluation for Neovim (Clojure, Fennel, Janet, Racket, Hy, MIT Scheme, Guile)                                                                                                                                          
sainnhe/gruvbox-material                     1384   9           2023-04-24T19:15:10Z         Gruvbox with Material Palette
kevinhwang91/nvim-ufo                        1346   16          2023-06-21T08:45:48Z         Not UFO in the sky, but an ultra fold in Neovim.                                                                                                                                                                                   
kyazdani42/nvim-web-devicons                 1337   21          2023-06-25T00:04:20Z         lua `fork` of vim-web-devicons for neovim
nvim-treesitter/nvim-treesitter-textobjects  1307   45          2023-06-26T16:08:50Z
folke/neodev.nvim                            1273   15          2023-07-13T06:06:09Z         💻  Neovim setup for init.lua and plugin development with full signature help, docs and completion for the nvim lua API.                                                                                                            
sainnhe/sonokai                              1267   3           2023-04-24T19:34:17Z         High Contrast & Vivid Color Scheme based on Monokai Pro
dracula/vim                                  1245   9           2023-06-19T20:53:16Z         🧛🏻‍♂️ Dark theme for Vim
j-hui/fidget.nvim                            1244   35          2023-06-10T06:24:38Z         Standalone UI for nvim-lsp progress
zbirenbaum/copilot.lua                       1225   6           2023-07-01T05:47:19Z         Fully featured & enhanced replacement for copilot.vim complete with API for interacting with Github Copilot
